,type,text,Predicted_value
3,1,"@mynameisvikiana @MFOLBoston @CharlieBakerMA @noNRAmoney @DiehlForSenate Geoff Diehl doesn’t reflect MA values. 

H… ",0
11,1,"Unfortunately in this crazy time we live in, when we have a President, that thinks he's a King, we have Crazies",0
18,1,"When it comes to saving lives from gun violence, @ednaacz and @GabbyGiffords will never give up. Read their intervi… ",0
36,1,"@JohnCornyn @SenTedCruz - As your constituent, I support commonsense laws.   I would like to each of you to say no… ",0
37,1,Good for her...nuts deserve nuts...maybe she'll have a nightmare and grab her gun and...,0
43,1,@physicianwomen only if approved by admin. Just FYI.,0
61,1,.She would be better off kicking Rand out of bed and finding a non Russian to live with,0
82,1,@dbongino Where are the political ads showing the violence on repubs/conservatives?  There are a trove of videos.… ,0
99,1,How about everyone affected by gun violence file a class action suit against every politician who has taken $ from… ,0
100,1,#VoteOrange,0
103,1,"How long before the GOP line is ""The Dems should like deaths from gun violence because it lowers population""",0
109,1,holy shit. this is so horrible,0
121,1,@Waddling14u What does that have to do with reducing gun violence in the US? Plus all that started long before trump.,0
131,1,"I do not promote gun violence.

But if you try n take my shit im blastin ",0
143,1,@ChuyForCongress @BruceRauner ,0
151,1,Voting against gun violence  ,0
179,1,Sure is.,0
203,1,"@WKRN Yes, if they are a registered Democrat then deny them the gun. Statistics show 98% of all gun violence is com… ",0
246,1,This is a conversation more people should be having #comm40,0
247,1,"@MauriceMichael @DLoesch Senators have been shot- yet #Dems encourage more violence.
Kelly Paul is a very kind gent… ",0
262,1,I have never in my life heard of a gender-segregated active shooter drill. What is wrong with people?,0
267,1,Hmm....    Goid Work; Sarge‼️.  👍🏻 🚔⚖️💙♠️,0
286,1,Also chances are they have some sort of untreated PTSD. Please don’t hesitate to seek mental health help.,0
292,1,Democraps are the party of violence...but they don't believe in guns! I'm sorry but I think they are going to lose… ,0
295,1,"Trump: I could shoot someone on Fifth Avenue
Yall: ...
*Neo-nazis kill innocent woman in racist rally*
Yall: ...
Er… ",0
299,1,"GO  AWAY  HILLARY
JUST GO AWAY",0
307,1,@teamworkpeople @SenGillibrand Maybe try looking at treating people's mental health treatment instead of trying to… ,0
308,1,"

So, you believe all the violence from this bullshit divisiveness is only liberals???? What… ",0
313,1,Yes,0
319,1,.@JasonCrowCO6,0
333,1,@GKMC18 @Ardamis_Hope @KenidraRWoods_ @davidhogg111 @AalayahEastmond @ladieversatile @kamilalyciaa @ToniiMagitt… ,0
339,1,"If I was related to that little girl, or let alone even knew her, I would come in to that school swinging",0
344,1,#GOPStupid #CantFixStupid,0
345,1,Nicely said.,0
346,1,@FaithNaff @AdrianXpression Since THE FUCK when do they separate kids into genders during a motherfucking active sh… ,0
367,1,#MAGA #VoteRedToSaveAmerica #KAG2018 #Deplorables #Truthistruth,0
399,1,Why does the gender designation of a locker room matter when you are literally just using them to shelter kids from… ,0
405,1,I don't think I've ever gotten so angry at a tweet,0
